# Winner Rankings — generated by scripts/score-winning-runs.mjs
# Generated: 2026-04-26T05:20:11.557Z
# Rows: 551
#
# Columns: score | id | task_id | archetype | lines | attempts | milestones | features-touched
1.8333 | 632 | compile_cycle | api_service |    3 |   0 |  1 | when user calls get /api/greet/:name:
1.8333 | 633 | compile_cycle | api_service |    3 |   0 |  1 | when user calls get /api/hello:
1.8333 | 634 | compile_cycle | api_service |    3 |   0 |  1 | when user sends data to /api/echo:
1.8333 | 1367 | compile_cycle | api_service |    3 |   0 |  1 | when user calls post /api/echo sending body:
1.8333 | 1369 | compile_cycle | api_service |    3 |   0 |  1 | when user sends payload to /api/echo:
1.8333 | 1593 | compile_cycle | general |    3 |   0 |  0 | when user calls get /api/hello:
1.8333 | 1598 | compile_cycle | general |    3 |   0 |  0 | when user sends body to /api/echo:
1.8333 | 1601 | compile_cycle | general |    3 |   0 |  0 | when user sends data to /api/echo:
1.8333 | 1670 | compile_cycle | general |    3 |   0 |  0 | when user sends payload to /api/echo:
1.7500 | 1594 | compile_cycle | general |    4 |   0 |  0 | when user calls get /api/greet/:name:
1.7500 | 1755 | compile_cycle | general |    4 |   0 |  0 | database is local memory
1.6111 | 686 | compile_cycle | agent_workflow |    9 |   0 |  1 | agent 'summarizer' receives text:
1.6111 | 1689 | compile_cycle | general |    9 |   0 |  0 | create a users table:
1.6000 | 635 | compile_cycle | api_service |   10 |   0 |  1 | counter_value = 0
1.6000 | 775 | compile_cycle | agent_workflow |   10 |   0 |  1 | database is local memory
1.6000 | 1083 | compile_cycle | api_service |   10 |   0 |  1 | counter = 0
1.6000 | 1288 | compile_cycle | api_service |   10 |   0 |  1 | count = 0
1.6000 | 1294 | compile_cycle | api_service |   10 |   0 |  1 | state is a map with count = 0
1.5909 | 1202 | compile_cycle | webhook_handler |   11 |   0 |  1 | create a events table:
1.5909 | 1567 | compile_cycle | etl_pipeline |   11 |   0 |  1 | database is local memory
1.5769 | 674 | compile_cycle | webhook_handler |   13 |   0 |  1 | database is local memory
1.5769 | 768 | compile_cycle | batch_job |   13 |   0 |  1 | database is local memory
1.5769 | 832 | compile_cycle | batch_job |   13 |   0 |  1 | create a mailinglist table:
1.5769 | 955 | compile_cycle | etl_pipeline |   13 |   0 |  1 | create a logs table:
1.5769 | 1766 | compile_cycle | general |   13 |   0 |  0 | when user sends calculation to /api/calculate:
1.5714 | 655 | compile_cycle | api_service |   14 |   0 |  1 | create a contacts table:
1.5714 | 749 | compile_cycle | api_service |   14 |   0 |  1 | create a users table:
1.5714 | 799 | compile_cycle | api_service |   14 |   0 |  1 | when user calls post /api/calculate sending calculation:
1.5714 | 884 | compile_cycle | api_service |   14 |   0 |  1 | database is local memory
1.5714 | 1378 | compile_cycle | api_service |   14 |   0 |  1 | when user sends calculation to /api/calculate:
